@id,법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
1702,184833,현행,대한노인회 지원에 관한 법률 시행규칙,대한노인회법 시행규칙,012615,20160718,00418,제정,1352000,보건복지부,보건복지부령,,20160804,,/DRF/lawService.do?OC=username001&target=law&MST=184833&type=HTML&mobileYn=&efYd=20160804
1703,213855,현행,대한무역투자진흥공사법,,000370,20200204,16929,타법개정,1450000,산업통상자원부,법률,,20210205,,/DRF/lawService.do?OC=username001&target=law&MST=213855&type=HTML&mobileYn=&efYd=20210205
1704,136014,현행,대한무역투자진흥공사법 시행령,,003361,20130323,24442,타법개정,1450000,산업통상자원부,대통령령,,20130323,,/DRF/lawService.do?OC=username001&target=law&MST=136014&type=HTML&mobileYn=&efYd=20130323
1705,238135,현행,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국군대의 지위에 관한 협정의 실시에 따른 관세법 등의 임시특례에 관한 법률,주한미군관세법,000593,20211221,18584,타법개정,1051000,기획재정부,법률,,20220101,,/DRF/lawService.do?OC=username001&target=law&MST=238135&type=HTML&mobileYn=&efYd=20220101
1706,193039,현행,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국 군대의 지위에 관한 협정의 시행에 관한 민사특별법 시행규칙,주한미군민사법 시행규칙,011496,20170330,00897,타법개정,1270000,법무부,법무부령,,20170330,,/DRF/lawService.do?OC=username001&target=law&MST=193039&type=HTML&mobileYn=&efYd=20170330
1707,192768,현행,대한민국과아메리카합중국간의상호방위조약제4조에의한시설과구역및대한민국에서의합중국군대의지위에관한협정의시행에관한민사특별법시행령,주한미군민사법 시행령,003362,20170327,27960,타법개정,1270000,법무부,대통령령,,20170330,,/DRF/lawService.do?OC=username001&target=law&MST=192768&type=HTML&mobileYn=&efYd=20170330
1708,114769,현행,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국 군대의 지위에 관한 협정의 시행에 따른 국가 및 지방자치단체의 재산의 관리와 처분에 관한 법률,미군공여재산법,000929,20110714,10825,일부개정,1290000,국방부,법률,,20110714,,/DRF/lawService.do?OC=username001&target=law&MST=114769&type=HTML&mobileYn=&efYd=20110714
1709,112382,현행,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국 군대의 지위에 관한 협정의 시행에 관한 형사특별법,주한미군형사법,001116,20110414,10583,일부개정,1270000,법무부,법률,,20110414,,/DRF/lawService.do?OC=username001&target=law&MST=112382&type=HTML&mobileYn=&efYd=20110414
1710,91501,현행,대한민국과 아메리카합중국 간의 상호방위조약 제4조에 의한 시설과 구역 및 대한민국에서의 합중국 군대의 지위에 관한 협정의 시행에 관한 민사특별법,주한미군민사법,001241,20090130,09360,일부개정,1270000,법무부,법률,,20090130,,/DRF/lawService.do?OC=username001&target=law&MST=91501&type=HTML&mobileYn=&efYd=20090130
1711,150692,현행,대한민국국기법,,010381,20140128,12342,일부개정,1741000,행정안전부,법률,,20140128,,/DRF/lawService.do?OC=username001&target=law&MST=150692&type=HTML&mobileYn=&efYd=20140128
1712,195596,현행,대한민국국기법 시행령,,010496,20170726,28211,타법개정,1741000,행정안전부,대통령령,,20170726,,/DRF/lawService.do?OC=username001&target=law&MST=195596&type=HTML&mobileYn=&efYd=20170726
1713,56888,현행,대한민국근무기장령,,003365,20030325,17945,타법개정,1290000,국방부,대통령령,,20030325,,/DRF/lawService.do?OC=username001&target=law&MST=56888&type=HTML&mobileYn=&efYd=20030325
1714,172683,현행,「대한민국 법원의 날」제정에 관한 규칙,,012324,20150629,02605,제정,9740000,대법원,대법원규칙,,20150629,,/DRF/lawService.do?OC=username001&target=law&MST=172683&type=HTML&mobileYn=&efYd=20150629
1715,253553,현행,대한민국예술원법,,000854,20230808,19592,타법개정,1371000,문화체육관광부,법률,,20230808,,/DRF/lawService.do?OC=username001&target=law&MST=253553&type=HTML&mobileYn=&efYd=20230808
1716,216173,현행,대한민국 재외공관 설치법,재외공관설치법,000014,20200331,17160,일부개정,1262000,외교부,법률,,20200331,,/DRF/lawService.do?OC=username001&target=law&MST=216173&type=HTML&mobileYn=&efYd=20200331
1717,216199,현행,대한민국재향경우회법,,000988,20200331,17167,일부개정,1320000,경찰청,법률,,20200701,,/DRF/lawService.do?OC=username001&target=law&MST=216199&type=HTML&mobileYn=&efYd=20200701
1718,142443,현행,대한민국재향교정동우회법,,011894,20130730,11952,제정,1270000,법무부,법률,,20130730,,/DRF/lawService.do?OC=username001&target=law&MST=142443&type=HTML&mobileYn=&efYd=20130730
1719,252489,현행,대한민국재향군인회법,,000906,20230711,19524,일부개정,1830000,국가보훈부,법률,,20240112,,/DRF/lawService.do?OC=username001&target=law&MST=252489&type=HTML&mobileYn=&efYd=20240112
1720,258355,현행,대한민국재향군인회법 시행령,,014584,20240109,34112,제정,1830000,국가보훈부,대통령령,,20240112,,/DRF/lawService.do?OC=username001&target=law&MST=258355&type=HTML&mobileYn=&efYd=20240112
